Attribute VB_Name = "Module1"
' TIPOS NPC
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC141] ' Guardia
Name=Guardia del Caos
NpcType = 2
Faccion = 2
Desc=Estorbas el paso!
Head = 102
Body = 56
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC142] ' Guardia
Name=Guardia del Caos
NpcType = 2
Faccion = 2
Desc=Estorbas el paso!
Head = 103
Body = 56
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC143] ' Guardia
Name=Guardia del Caos
NpcType = 2
Desc=Estorbas el paso!
Faccion = 2
Head = 6
Body = 130
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC144] ' Guardia
Name=Guardia del Caos
NpcType = 2
Faccion = 2
Desc=Muévete sabandija!
Head = 6
Body = 198
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC149] 'NPC
Name = Banquero
Desc=¿Deseas depositar o extraer items? Tan solo dime lo que necesitas y yo te ayudaré.
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
Info=Banquero de Lindos.

[NPC150] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550. T: 135, 381, 238, 675.
Name = Sastre
Desc=¡Hola forastero! Puedes obtener aquí las mejores ropas de la zona.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 30
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 170 - 100
Obj5 = 240 - 100
Obj6 = 527 - 100
Obj7 = 80 - 100
Obj8 = 45 - 100
Obj9 = 507 - 100
Obj10 = 515 - 100
Obj11 = 560 - 100
Obj12 = 504 - 100
Obj13 = 505 - 100
Obj14 = 506 - 100
Obj15 = 508 - 100
Obj16 = 501 - 100
Obj17 = 502 - 100
Obj18 = 490 - 100
Obj19 = 486 - 100
Obj20 = 511 - 100
Obj21 = 382 - 100
Obj22 = 488 - 100
Obj23 = 512 - 100
Obj24 = 656 - 100
Obj25 = 657 - 100
Obj26 = 694 - 100
Obj27 = 707 - 100
Obj28 = 510 - 100
Obj29 = 513 - 100
Obj30 = 697 - 100
BackUp = 1
Domable = 0
info=Sastre de Arghal

[NPC151]
Name = Pirata
NpcType = 6
Desc=Vendo pasajes, viajero.
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
NROITEMS = 2
Obj1 = 747 - 10
Obj2 = 748 - 10
TipoItems = 37
Alineacion = 0
Respawn = 0
BackUp = 1
Domable = 0
info=pasajes arghal

 [NPC152]
Name = Pirata
NpcType = 6
Desc=¡Acércate y echa un vistazo!
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
NROITEMS = 3
Obj1 = 734 - 10
Obj2 = 735 - 10
Obj3 = 736 - 10
TipoItems = 37
Alineacion = 0
Respawn = 0
BackUp = 1
Domable = 0
info=pasajes banderbill

[NPC153]
Name = Pirata
NpcType = 6
Desc=¡Pasajes! ¡Pasajes!
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
NROITEMS = 5
Obj1 = 742 - 10
Obj2 = 743 - 10
Obj3 = 744 - 10
Obj4 = 745 - 10
Obj5 = 746 - 10
TipoItems = 37
Alineacion = 0
Respawn = 0
BackUp = 1
Domable = 0
Info=pasajes Hilidian

[NPC154]
Name = Pirata
NpcType = 6
Desc=¡Viaja por estas tierras con mis pasajes!
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
NROITEMS = 3
Obj1 = 731 - 10
Obj2 = 732 - 10
Obj3 = 733 - 10
TipoItems = 37
Alineacion = 0
Respawn = 0
BackUp = 1
Domable = 0
info=Pasajes Nix

[NPC155]
Name = Pirata
NpcType = 6
Desc=¡Acércate y echa un vistazo!
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
NROITEMS = 3
Obj1 = 737 - 10
Obj2 = 738 - 10
Obj3 = 739 - 10
TipoItems = 37
Alineacion = 0
Respawn = 0
BackUp = 1
Domable = 0
info=Pasajes Espe

[NPC127] 'Armaduras: 529, 30, 659, 672, 671, 499, 359, 356, 360. Escudos: 404, 608, 130, 609, 610.Cascos: 568, 566, 567 565, 564.
Name = Herrero
Desc=En estos momentos de guerra, si eres un luchador nada mejor que una buena armadura para tu protección.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 12
Obj1 = 529 - 100
Obj2 = 30 - 100
Obj3 = 774 - 100
Obj4 = 672 - 100
Obj5 = 359 - 100
Obj6 = 499 - 100
Obj7 = 671 - 100
Obj8 = 356 - 100
Obj9 = 360 - 100
Obj10 = 391 - 100
Obj11 = 243 - 100
Obj12 = 759 - 100
BackUp = 1
Domable = 0
info=Herrero de Esperanza (armaduras)

[NPC156] 'Ent
Name = Ent
Body = 164
Heading = 3
Movement = 2
MinHP = 600
MaxHP = 600
Attackable = 1
MaxHIT = 120
MinHIT = 100
PoderAtaque = 200
PoderEvasion = 200

[NPC208]
Name = Tienda
Desc=Hola, noble guerrero, si quieres alquilar mi negocio para vender tus objetos hazme doble click.
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0
NpcType = 8

[NPC209]
Name=Ruleta 1
Desc=Hola, ¿quieres apostar a la ruleta? Manejo apuestas de $10 a $100.
Apostador = 1
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0

[NPC210]
Name=Ruleta 2
Desc=Hola, ¿quieres apostar a la ruleta? Manejo apuestas de $100 a $1.000.
Apostador = 2
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0

[NPC211]
Name=Ruleta 3
Desc=Hola, ¿quieres apostar a la ruleta? Manejo apuestas de $1.000 a $10.000.
Apostador = 3
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0

[NPC212]
Name=Ruleta 4
Desc=Hola, ¿quieres apostar a la ruleta? Manejo apuestas de $10.000 a $100.000.
Apostador = 4
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0

[NPC213]
Name=Ruleta 5
Desc=Hola, ¿quieres apostar a la ruleta? Manejo apuestas de $100.000 a $1.000.000.
Apostador = 5
Head = 4
Body = 3
Heading = 3
Movement = 1
Respawn = 0

[NPC214] 'Lobo (Invocado) 1.0
Name = Lobo
Respawn = 1
Head = 0
Body = 10
Heading = 3
Movement = 3
Alineacion = 2
Attackable = 1
Comercia = 0
Hostile = 1
GiveEXP = 0
GiveGLD = 0
MinHP = 75
MaxHP = 75
MaxHIT = 20
MinHIT = 10
DEF = 8
PoderAtaque = 80
PoderEvasion = 30
Snd1 = 35
SND2 = 9

[NPC215] 'Zombie (Invocado) 1.0
Name = Zombie
Head = 0
Body = 11
Heading = 3
Movement = 3
Alineacion = 2
Attackable = 1
Comercia = 0
Hostile = 1
GiveEXP = 0
GiveGLD = 0
MinHP = 250
MaxHP = 250
MaxHIT = 30
MinHIT = 25
DEF = 20
NROITEMS = 0
PoderAtaque = 100
PoderEvasion = 20
SND2 = 33
snd3 = 56

[NPC216] 'NPC
Name = Carpintero
Desc=Los mejores Arcos y Las mejores Flechas de estas tierras
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 11
Obj1 = 474 - 100
Obj2 = 475 - 100
Obj3 = 476 - 100
Obj4 = 478 - 100
Obj5 = 596 - 100
Obj6 = 479 - 100
Obj7 = 597 - 100
Obj8 = 600 - 100
Obj9 = 480 - 100
Obj10 = 551 - 100
Obj11 = 552 - 100
BackUp = 1
Domable = 0
info=Carpintero de Ullathorpe (Arcos y Flechas)

[NPC217] ' Para los que tan al dope o nacieron asi !
Name = Cara
NpcType = 9
Desc= tienes fea cara? tipea /ROSTRO y yo puedo arreglarlo.
Head = 500
Body = 56
Heading = 3
Attackable = 0
Comercia = 0
Hostile = 0

[NPC219]
Name = Ullathorpe
Desc = Ullathorpe
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC220]
Name = Nix
Desc = Nix
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC221]
Name = Banderbill
Desc = Banderbill
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC222]
Name = Arghal
Desc = Arghal
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC223]
Name = Lindos
Desc = Lindos
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC224]
Name=Nueva Esperanza
Desc=Nueva Esperanza
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC225]
Name = Hillidian
Desc = Hillidian
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC226]
Name=Dungeon Marabel
Desc=Dungeon Marabel
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC227]
Name=Dungeon Veriil
Desc=Dungeon Veriil
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC228]
Name=Dungeon Ancestral
Desc=Dungeon Ancestral
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC229]
Name=Cavernas Heladas
Desc=Cavernas Heladas
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC230]
Name=Zona de Agite
Desc=Zona de Agite
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC231]
Name=Zona de Plantes
Desc=Zona de Plantes
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC232]
Name=Zona de Agite II
Desc=Zona de Agite II
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC233]
Name=Isla Pirata
Desc=Isla Pirata
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC17]
Name = Cirujano
NpcType = 9
Desc=/ROSTRO, Cambiate el rostro deforme
Head = 4
Body = 63
Heading = 3
Attackable = 0
Comercia = 0
Hostile = 0

[NPC234]
Name=Dungeon Clan
Desc=Dungeon Clan
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC235]
Name=Sala de Retos
Desc=Sala de Retos
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC18]
Name=Sala de GM's
Desc=Sala de GM's
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Respawn = 0
Domable = 0
BackUp = 1

[NPC23]
Name = Herrero
Desc=Para aventurarte, guerrero, necesitaras cubrir tu cuerpo con gruesas armaduras (bajos).
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 11
Obj1 = 30 - 100
Obj2 = 671 - 100
Obj3 = 581 - 100
Obj4 = 582 - 100
Obj5 = 586 - 100
Obj6 = 243 - 100
Obj7 = 584 - 100
Obj8 = 500 - 100
Obj9 = 693 - 100
Obj10 = 667 - 100
Obj11 = 483 - 100
BackUp = 1
Domable = 0

[NPC236] 'DUELO
Name = Duelo
NpcType = 10
Desc=Saludos guerrero, soy el organizador de duelos en estas tierras, si deseas duelear escribe /DUELO . ¡Mucha suerte!.
Head = 103
Heading = 3
Body = 63
Movement = 1
Attackable = 0
Respawn = 0
Hostile = 0
Domable = 0
Alineacion = 0
BackUp = 1

[NPC237]
Name=Hades
Body = 355
Heading = 3
Movement = 10
Alineacion = 2
Attackable = 1
Respawn = 0
Comercia = 0
AfectaParalisis = 1
Hostile = 1
GiveEXP = 100000
GiveGLD = 5000000
MinHP = 300000
MaxHP = 300000
MaxHIT = 280
MinHIT = 240
DEF = 0
Veneno = 1
PoderAtaque = 300
PoderEvasion = 60
snd3 = 64
NROITEMS = 4
Obj1 = 407 - 1
Obj2 = 781 - 1
Obj3 = 780 - 1
Obj4 = 774 - 1
Probabilidad=25
LanzaSpells=1
Sp1=35


[NPC238] 'NPC
Name=Viajero
Desc= Combates 1
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0


[NPC239] 'NPC
Name=Viajero
Desc= Combates 2
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0


[NPC240] 'NPC
Name=Viajero
Desc= Combates 3
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0 

[NPC241] 'NPC
Name=Viajero
Desc= Arghelin
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0 

[NPC242] 'NPC
Name=Viajero
Desc= ¿Eres nivel bajo? Entra aquí tendras unos Npcs de entrenamiento muy efectivos.
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0 

[NPC243] 'NPC
Name=Viajero
Desc= Enlistamiento de facciónes.
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC244] 'NPC
Name=Viajero
Desc= Arghelin
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC245] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550. T: 135, 381, 238, 675.
Name = Sastre
Desc=¿Queres ser elegante? no dudes en hacerme doble click.
Head = 12
Body = 79
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 2
Inflacion = 0
Obj1 = 656 - 100
Obj2 = 657 - 100
BackUp = 1
Domable = 0
info=Sastre

[NPC246] 'NPC
Name=Zeus
Desc= Hola, mi nombre es Zeus Dios de los dioses del olimpo!, Realiza las misiones que te encomiendo y obtendrás muchos privilegios que te harán mas fuerte! 
Head=4
NpcType=14
Body=138
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC247] 'NPC
Name=Viajero
Desc= Ullathorpe.
Head=4
Body=175
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC248] 'NPC
Name=Deathmatch
Desc= Hazme doble click si deseas entrar al deathmatch.
NpcType=12
Head=102
Body=104
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC249] 'NPC
Name=Quest
Desc= Hazme doble click si deseas hacer una QUEST, si quieres abandonar una quest tipeá /NOQUEST en donde estes, si quieres saber cuanto te falta para terminar una quest tipeá /INFOQUEST y lo sabras.
NpcType=13
Head=102
Body=104
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0

[NPC250]
Name=Viajero
NpcType=6
Desc=¡Viaja por estas tierras con mis pasajes!
Head=4
Body=2
Heading=3
Movement=1
Attackable=0
Comercia=1
Hostile=0
NROITEMS = 11
Obj1 = 845 - 10
Obj2 = 846 - 10
Obj3 = 847 - 10
Obj4 = 848 - 10
Obj5 = 849 - 10
Obj6 = 864 - 10
Obj7 = 865 - 10
Obj8 = 866 - 10
Obj9 = 867 - 10
Obj10 = 868 - 10
Obj11 = 869 - 10
TipoItems=37
Alineacion=0
Domable=0
info=Pasajes

[NPC251]
Name=Tienda
Desc=Hola, noble guerrero, si quieres alquilar mi negocio para vender tus objetos hazme doble click.
Head=4
Body=3
Heading=3
Movement=1
ReSpawn=0
NpcType=8

[NPC252]
Name=Hefesto
Desc= Me llamo Hefesto, traéme lo que propongo y hare forjaré tus elementos!
Head=6
NpcType=15
Body=35
Heading=3
Movement=1
Attackable=0
Comercia=0
Hostile=0
Alineacion=0
Domable=0


[NPC253]
Name = sastre
Desc=Regalo Gorritos, Feliz Navidad!
Head = 4
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 11
Obj1 = 787 - 100
Obj2 = 787 - 100
Obj3 = 787 - 100
Obj4 = 787 - 100
Obj5 = 787 - 100
Obj6 = 787 - 100
Obj7 = 787 - 100
Obj8 = 787 - 100
Obj9 = 787 - 100
Obj10 = 787 - 100
Obj11 = 787 - 100
BackUp = 1
Domable = 0
